data,indice,taxa percent
01/12/2014,IPCA,"0,0641"
01/01/2015,IPCA,"0,0714"
01/02/2015,IPCA,"0,077"
01/03/2015,IPCA,"0,0813"
01/04/2015,IPCA,"0,0817"
01/05/2015,IPCA,"0,0847"
01/06/2015,IPCA,"0,0889"
01/07/2015,IPCA,"0,0956"
01/08/2015,IPCA,"0,0953"
01/09/2015,IPCA,"0,0949"
01/10/2015,IPCA,"0,0993"
01/11/2015,IPCA,"0,1048"
01/12/2015,IPCA,"0,1067"
01/01/2016,IPCA,"0,1071"
01/02/2016,IPCA,"0,1036"
01/03/2016,IPCA,"0,0939"
01/04/2016,IPCA,"0,0928"
